Código da notícia 2022,Data da notícia,Região,UF,MUNICÍPIO,ID,Ação Matriz,Ação derivada,Nome do movimento,Cadastrar novo movimento,Datas da ação,ODS,Cadastrar nova pauta,Pautas da ação,Data incompleta,Bioma
FLO011222B,"dez. 1, 2022",Nordeste , Piauí , Currais,2203230,Encontro , Reunião de Articulação,Outros,Povo Akroá Gamella; Povo Tabajara; Povo Tukano; Comissão Pastoral da Terra (CPT),Data inicial: 18/11/2022 Data final: 20/11/2022,"16; Paz Justiça e Instituições Eficazes
17; Parcerias e Meios de Implementação",,"Segurança Territorial​
Cultura​",,Cerrado
FLO011222C,"dez. 1, 2022",Nordeste , Piauí , Currais,2203230,Interseccionalidade institucional , Organização de Audiência Pública,Outros,Povo Akroá Gamella,Data inicial: 18/11/2022 Data final: 18/11/2022,"3; Saúde e Bem-Estar
16; Paz Justiça e Instituições Eficazes
17; Parcerias e Meios de Implementação",Violências sofridas,Outros,,Cerrado
FLO180122E,"jan. 18, 2022",Nordeste , Piauí , São Raimundo Nonato,2210607,Interseccionalidade institucional , Organização de Audiência Pública,Outros,Quilombolas do Território Quilombola Lagoas,undefined,"15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",,"Autonomia
Direito ao território​
Segurança Territorial​
Patrimônio territorial​",,Caatinga
FLO141122A,"nov. 14, 2022",Nordeste , Piauí , Teresina,2211001,Encontro , Reunião de Articulação,Movimento dos Atingidos por Barragens (MAB),Quebradeiras de Coco Babaçu; Movimento dos Trabalhadores Sem Terra (MST); Movimento dos Pequenos Agricultores/as (MPA); Obra Kolping; Movimento Quilombola,Data inicial: 11/11/2022 Data final: 11/11/2022,"15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",PL Babaçu Livre;,"Preservação ambiental​
Saberes tradicionais​",,Caatinga
FLO210522B,"mai. 20, 2022",Nordeste , Piauí , Teresina,2211001,Evento , Feira,Outros,Ailton Krenak,,"14; Vida na Água
15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes
17; Parcerias e Meios de Implementação",,"Autonomia
Políticas indigenistas​
Direito ao território​
Direitos originários​",,Caatinga
FLO080822B,"ago. 8, 2022",Nordeste , Piauí , Água Branca,2200202,Ocupação de espaço público ou privado , Ocupação de Espaço Público,NI,,Data inicial: 04/08/2022 Data final: 04/08/2022,16; Paz Justiça e Instituições Eficazes,,"Demarcação de terras​
Políticas indigenistas​
Marco temporal​
Direito ao território​",,Caatinga
FLO230822A,"ago. 23, 2022",Nordeste , Rio Grande do Norte , Baía Formosa,2401404,Ritual ,Cerimônia,Outros,Associação dos Remanescentes do Quilombo,Data inicial: 16/08/2022 Data final: 20/08/2022,"3; Saúde e Bem-Estar
16; Paz Justiça e Instituições Eficazes",,"Demarcação de terras​
Saúde quilombola​
Segurança Territorial​
Cultura​
Saberes tradicionais​",,NI
FLO100322B,"mar. 10, 2022",Nordeste , Sergipe , Aracaju,2800308,Comunicativa, Entrevista Concedida,Outros,Zenaide; Cláudis Oliveira (Secretária da Mulher da Central Única dos Trabalhadores),Data inicial: 07/03/2022 Data final: 07/03/2022,"10; Redução das Desigualdades
15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",Saúde; Especulação Imobiliária,"Defesa ambiental​
Preservação ambiental​
Cultura​
Educação​",,Mata Atlântica
FLO100322C,"mar. 10, 2022",Nordeste , Sergipe , Aracaju,2800308,Ocupação de espaço público ou privado , Ocupação de Espaço Público,Outros,Comunidade Extrativista de Catadoras e Catadores de Mangaba,Data inicial: 08/03/2022 Data final: 08/03/2022,"10; Redução das Desigualdades
15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",Saúde; Especulação Imobiliária,"Defesa ambiental​
Preservação ambiental​",,Mata Atlântica
FLO090922B,"set. 9, 2022",Nordeste , Sergipe , Porto da Folha,2805604,Festividades e Ritual , Cerimônia Festiva,Outros,,Data inicial: 09/09/2022 Data final: 09/09/2022,15; Vida Terrestre,,"Autonomia
Demarcação de terras​
Direito ao território​
Cultura​
Patrimônio territorial​
Saberes tradicionais​",,Caatinga
FLO100122D,"jan. 10, 2022",Nordeste , Sergipe , Propriá,2805703,Arrecadação de Recursos ou Execução de Serviços , Campanha de Solidariedade Socioeconômica,Outros,Povo Kariri Xocó,,15; Vida Terrestre,,"Autonomia
Cultura​",NI/01/2022,Mata Atlântica
FLO140622B,"jun. 14, 2022",Norte , Acre , Cruzeiro do Sul,1200203,Comunicativa, Carta Pública de Denúncia,Outros,"povos indígenas das etnias Manchineri, Apurinã, Katukina Noke Kuí, Jamamadí, Jaminawa, Sharanawa, Huni Kuim, Shanenawa, Ashaninka, Madiha, Kuntanawa, Jaminawa-Arara, Jaminawa do Igarapé Preto, Marubo, Arara, Apolima-Arara, Kanoé Rondonia, Oro Wari Rondonia, Bororo, Nukini, Nawa, além de pequenos/as agricultores/as, trabalhadores/as rurais extrativistas, representantes das organizações Conselho Indigenista Missionário (CIMI), Movimento Mundial pelas Florestas Tropicais (WRM), Amigos da Terra Brasil, Sempre Viva organização Feminista (SoF), Marcha Mundial das Mulheres (MMM), Movimento dos Trabalhadores/as Sem Terra (MST-RO), Movimento dos Pequenos Agricultores/as (MPA – RO).",Data inicial: 11/06/2022 Data final: 12/06/2022,"2; Fome Zero e Agricultura Sustentável
3; Saúde e Bem-Estar
15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",,"Defesa ambiental​
Preservação ambiental​
Marco temporal​
Segurança Territorial​",,Amazônia
FLO151122B,"nov. 15, 2022",Norte , Acre , Marechal Thaumaturgo,1200351,Comunicativa, Campanha,Outros,Francisco Piyãko (povo Ashaninka),Data inicial: 15/11/2022 Data final: 15/11/2022,15; Vida Terrestre,Narcotráfico; Cooptação de Indígenas e Ribeirinhos,Segurança Territorial​,,Amazônia
FLO210722B,"jul. 21, 2022",Norte , Acre , Mâncio Lima,1200336,Evento , Festival,Outros,Povo Puyanawa,Data inicial: 18/07/2022 Data final: 22/07/2022,10; Redução das Desigualdades,,Cultura​,,Amazônia
FLO220922E,"set. 22, 2022",Norte , Acre , Mâncio Lima,1200336,Comunicativa, Nota de Repúdio,Outros,Representantes do Povo Nukini; Representantes do Povo Nawa; Representantes do Povo Shawãdawa; Representantes do Povo Noke Ko’ī; Representantes do Povo Apolima Arara; Representantes do Povo Huni Kuĩ.,Data inicial: 08/09/2022 Data final: 10/09/2022,"15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",,"Preservação ambiental​
Políticas indigenistas​
Direito ao território​
Segurança Territorial​
Desmatamento​
Direitos originários​
Patrimônio territorial​",,Amazônia
FLO220922F,"set. 22, 2022",Norte , Acre , Mâncio Lima,1200336,Encontro , Reunião de Articulação,Outros,Representantes do Povo Nukini; Representantes do Povo Nawa; Representantes do Povo Shawãdawa; Representantes do Povo Noke Ko’ī; Representantes do Povo Apolima Arara; Representantes do Povo Huni Kuĩ; Organização dos Povos Indígenas do Rio Juruá,Data inicial: 08/09/2022 Data final: 10/09/2022,"15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",,"Preservação ambiental​
Direito ao território​
Segurança Territorial​
Direitos originários​",,Amazônia
FLO220522D,"mai. 22, 2022",Norte , Acre , Rio Branco,1200401,Evento , Festival,Outros,Povo Yawanawá; Povo Kaxinawá; Povo Huni Kui,Data inicial: 20/05/2022 Data final: 21/05/2022,"11; Cidades e Comunidades Sustentáveis
15; Vida Terrestre",Turismo,"Cultura​
Saberes tradicionais​",,Amazônia
FLO291122E,"dez. 29, 2022",Norte , Amapá , Macapá,1600303,Comunicativa, Entrevista Concedida,Outros,Edinelson Vidal (Associação Quilombola Lagoa dos Índios Arco da Ressaca),Data inicial: 29/11/2022 Data final: 29/11/2022,"10; Redução das Desigualdades
16; Paz Justiça e Instituições Eficazes",Despejo,Direito ao território​,,NI
FLO291122F,"nov. 29, 2022",Norte , Amapá , Macapá,1600303,Ocupação de espaço público ou privado , Ocupação de Espaço Público,Outros,Comunidade Quilombola Lagoa dos Índios Arco da Ressaca,Data inicial: 11/11/2022 Data final: 11/11/2022,"10; Redução das Desigualdades
16; Paz Justiça e Instituições Eficazes",Despejo,Direito ao território​,,Amazônia
FLO120822B,"ago. 12, 2022",Norte , Amapá , Oiapoque,1600501,Evento , Assembleia,"Coordenação das Organizações Indígenas da Amazônia Brasileira (Coiab)
Outros",Articulação dos Povos e Organizações Indígenas do Amapá e Norte do Pará (APOIANP),Data inicial: 03/08/2022 Data final: 03/08/2022,"16; Paz Justiça e Instituições Eficazes
17; Parcerias e Meios de Implementação",,"Demarcação de terras​
Segurança Territorial​
Cultura​
Mudanças Climáticas​
Direitos originários​",,Amazônia
FLO261222A,"dez. 26, 2022",Norte , Amapá , Oiapoque,1600501,Paraestatal,Reflorestamento,Outros,Povo Karipuna; Associação Indígena do Povo Karipuna (AIKA),,15; Vida Terrestre,,"Autonomia
Florestania​",NI/12/2022,Amazônia
FLO010722A,"jul. 1, 2022",Norte , Amazonas , Atalaia do Norte,1300201,Encontro , Reunião de Denúncia,Outros,União dos Povos Indígenas do Vale do Javari (UNIVAJA),undefined,"15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",,"Racismo institucional​
Segurança Territorial​",,Amazônia
FLO010722D,"jul. 1, 2022",Norte , Amazonas , Atalaia do Norte,1300201,Interseccionalidade institucional , Participação em Audiência Publica,Outros,União dos Povos Indígenas do Vale do Javari (Univaja),undefined,16; Paz Justiça e Instituições Eficazes,,"Racismo institucional​
Racismo étnico​
Segurança Territorial​",,Amazônia
FLO080622A,"jun. 8, 2022",Norte , Amazonas , Atalaia do Norte,1300201,Comunicativa, Nota de Repúdio,"Coordenação das Organizações Indígenas da Amazônia Brasileira (Coiab)
Articulação dos Povos Indígenas do Brasil (APIB)
Outros",União dos Povos Indígenas do Vale do Javari (Univaja); Observatório dos Direitos Humanos dos Povos Indígenas Isolados e de Recente Contato (Opi),undefined,16; Paz Justiça e Instituições Eficazes,Omissão Governamental,"Outros
Segurança Territorial​",,Amazônia
FLO271122A,"nov. 27, 2022",Norte , Amazonas , Atalaia do Norte,1300201,Comunicativa,Carta aberta,Outros,Associação dos Kanamari do Vale do Javari (Akavaja),Data inicial: 17/11/2022 Data final: 17/11/2022,"12; Consumo e Produção Responsáveis
15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",Invasão,"Segurança Territorial​
Patrimônio territorial​",,NI
FLO221122C,"nov. 22, 2022",Norte , Amazonas , Atalaia do Norte,1300201,Comunicativa, Entrevista Concedida,Outros,Beto Marubo (Líder Indígena do Vale do Javari),Data inicial: 22/11/2022 Data final: 22/04/2022,"15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",Invasões; Povos Isolados; Proteção de Terras Indígenas,Segurança Territorial​,,NI
FLO221122D,"nov. 22, 2022",Norte , Amazonas , Atalaia do Norte,1300201,Comunicativa, Carta Pública de Denúncia,Outros,Coordenação da Organização Indígena UNIVAJA-União dos Povos Indígenas do Vale do Javari,Data inicial: 21/11/2022 Data final: 21/11/2022,"15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",Invasões; Povos Isolados; Proteção de Terras Indígenas; Inoperância Estatal,Segurança Territorial​,,NI
FLO170622A,"jun. 17, 2022",Norte , Amazonas , Atalaia do Norte,1300201,Comunicativa, Entrevista Concedida,Outros,União dos Povos Indígenas do Vale do Javari (Univaja),,16; Paz Justiça e Instituições Eficazes,,"Defesa ambiental​
Segurança Territorial​",N.I.,Amazônia
FLO220422A,"mai. 27, 2023",Norte , Amazonas , Atalaia do Norte,1300201,Comunicativa, Entrevista Concedida,Outros,Kadji Kanamary - Conselho Indígena Kanamary do Jutaí e Juruá (Cikajú),Data inicial: 22/04/2022 Data final: 22/04/2022,"3; Saúde e Bem-Estar
8; Trabalho Decente e Crescimento Econômico
10; Redução das Desigualdades
11; Cidades e Comunidades Sustentáveis",,"Combate ao garimpo​
Defesa ambiental​
Saúde indígena​
Segurança Territorial​",,Amazônia
FLO220422B,"abr. 22, 2022",Norte , Amazonas , Atalaia do Norte,1300201,Comunicativa, Carta Pública de Denúncia,Outros,Conselho Indígena Kanamary do Jutaí e Juruá (Cikajú),Data inicial: 22/04/2022 Data final: 22/04/2022,"3; Saúde e Bem-Estar
11; Cidades e Comunidades Sustentáveis
15; Vida Terrestre",,"Combate ao garimpo​
Saúde indígena​
Segurança Territorial​",,Amazônia
FLO050422A,"abr. 5, 2022",Norte , Amazonas , Autazes,1300300,Evento , Assembleia,Outros,Conselho Indígena Mura (CIM); Organização das Lideranças Indígenas Mura de Careiro da Várzea (OLIMCV),Data inicial: 04/04/2022 Data final: 04/04/2022,"11; Cidades e Comunidades Sustentáveis
15; Vida Terrestre
17; Parcerias e Meios de Implementação",,"Autonomia
Defesa ambiental​
Mineração​",,Amazônia
FLO060422A,"abr. 6, 2022",Norte , Amazonas , Autazes,1300300,Encontro , Reunião de Articulação,Outros,Conselho indígena Mura (CIM); Organizações das Lideranças indígenas Mura de Careiro da Várzea (OLIMCV),Data inicial: 04/04/2022 Data final: 04/04/2022,"11; Cidades e Comunidades Sustentáveis
15; Vida Terrestre",,"Autonomia
Preservação ambiental​
Mineração​",,Amazônia
FLO180722C,"jul. 18, 2022",Norte , Amazonas , Barcelos,1300409,Comunicativa, Carta Pública de Denúncia,Outros,Hutukara Associação Yanomami (HAY),undefined,3; Saúde e Bem-Estar,,Saúde indígena​,,Amazônia
FLO141122D,"nov. 14, 2022",Norte , Amazonas , Barcelos,1300409,Comunicativa, Vídeo de Denúncia,Povo Yanomami,Davi Kopenawa; José Yanomami; Aristeu Yanomami,,"15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",,"Combate ao garimpo​
Saúde indígena​
Segurança Territorial​",NI/11/22,Amazônia
FLO260922G,"set. 26, 2022",Norte , Amazonas , Barreirinha,1300508,Encontro ,Reunião de negociação,Outros,Povo Sateré Mawé,Data inicial: 26/09/2022 Data final: 26/09/2022,"2; Fome Zero e Agricultura Sustentável
10; Redução das Desigualdades
15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",,"Autonomia
Demarcação de terras​
Políticas indigenistas​
Direito ao território​
Segurança Territorial​
Cultura​
Educação​
Direitos originários​
Patrimônio territorial​
Florestania​
Saberes tradicionais​",,Amazônia
FLO170222,"fev. 17, 2022",Norte , Amazonas , Beruri,1300631,Comunicativa, Entrevista Concedida,NI,,,"3; Saúde e Bem-Estar
16; Paz Justiça e Instituições Eficazes",,Saúde indígena​,,Amazônia
FLO241122A,"nov. 24, 2022",Norte , Amazonas , Canutama,1300904,Comunicativa, Entrevista Concedida,Outros,Puré Juma Uru-E-Wau-Wau,Data inicial: 24/11/2022 Data final: 24/11/2022,"12; Consumo e Produção Responsáveis
15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",Madeireira; Povos Isolados; Protocolo de Consulta,Preservação ambiental​,,Amazônia
FLO010722B,"jul. 1, 2022",Norte , Amazonas , Humaitá,1301704,Evento ,Conferência,"Coordenação das Organizações Indígenas da Amazônia Brasileira (Coiab)
Outros",Aliança para o Desenvolvimento Sustentável do Sul do Amazonas (ADSSA); Conselho Nacional das Populações Extrativistas (CNS); Federação dos Trabalhadores Rurais Agricultores e Agricultoras Familiares do Estado Amazonas (FETAGRI),undefined,"2; Fome Zero e Agricultura Sustentável
15; Vida Terrestre",,"Defesa ambiental​
Direito ao território​",,Amazônia
FLO030822A,"abr. 8, 2023",Norte , Amazonas , Itacoatiara,1301902,Encontro , Reunião de Denúncia,Outros,Comunidade Itacoatiara; Comunidade Itapiranga; Comunidade Silves,Data inicial: 02/08/2022 Data final: 02/08/2022,"12; Consumo e Produção Responsáveis
15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",,"Autonomia
Defesa ambiental​
Preservação ambiental​
Direito ao território​
Mineração​
Direitos originários​
Patrimônio territorial​",,Amazônia
FLO22092022A,"set. 22, 2022",Norte , Amazonas , Itacoatiara,1301902,Evento , Assembleia,Outros,Quilombo do Tambor; Quilombo Urbano do Barranco de São Benedito; Quilombo Santa Tereza do Matupiri; Quilombo de Boa Fé; Quilombo de São Pedro; Quilombo de Trindade; Quilombo de Ituquara; Quilombo de São Paulo do Açu; Quilombo de São João do Urucurituba; Quilombo de Sagrado Coração de Jesus do Lago de Serpa; Coordenação Nacional de Articulação de Quilombos,Data inicial: 16/09/2022 Data final: 18/09/2022,"10; Redução das Desigualdades
15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",,"Direito ao território​
Segurança Territorial​
Patrimônio territorial​",,Amazônia
FLO220922B,"set. 22, 2023",Norte , Amazonas , Itacoatiara,1301902,Comunicativa, Carta Cosmopolítica,Outros,Quilombo do Tambor; Quilombo Urbano do Barranco de São Benedito; Quilombo Santa Tereza do Matupiri; Quilombo de Boa Fé; Quilombo de São Pedro; Quilombo de Trindade; Quilombo de Ituquara; Quilombo de São Paulo do Açu; Quilombo de São João do Urucurituba; Quilombo de Sagrado Coração de Jesus do Lago de Serpa; Coordenação Nacional de Articulação das Comunidades Negras Rurais Quilombolas - Conaq,,"10; Redução das Desigualdades
15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",,"Direito ao território​
Segurança Territorial​
Patrimônio territorial​",NI/09/2022,Amazônia
FLO230922H,"mai. 31, 2023",Norte , Amazonas , Itacoatiara,1301902,Encontro , Reunião de Articulação,Outros,Coordenação Nacional de Articulação das Comunidades Negras Rurais Quilombolas; Quilombolas do estado do Amazonas,Data inicial: 16/09/2022 Data final: 19/09/2022,"3; Saúde e Bem-Estar
15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",,"Preservação ambiental​
Demarcação de terras​
Direito ao território​
Saúde quilombola​
Cultura​
Educação​
Patrimônio territorial​",,Amazônia
